"","group1a","group1b","group2a","group2b"
"90",FALSE,FALSE,TRUE,FALSE
"91",FALSE,FALSE,FALSE,TRUE
"92",FALSE,FALSE,FALSE,TRUE
"93",FALSE,TRUE,FALSE,FALSE
"94",FALSE,FALSE,FALSE,TRUE
"95",FALSE,FALSE,TRUE,FALSE
"96",FALSE,FALSE,TRUE,FALSE
"97",FALSE,TRUE,FALSE,FALSE
"98",FALSE,TRUE,FALSE,FALSE
"99",FALSE,FALSE,FALSE,TRUE
"100",TRUE,FALSE,FALSE,FALSE
"101",TRUE,FALSE,FALSE,FALSE
"102",FALSE,FALSE,FALSE,TRUE
"103",FALSE,FALSE,TRUE,FALSE
"104",FALSE,FALSE,TRUE,FALSE
"105",TRUE,FALSE,FALSE,FALSE
"106",FALSE,FALSE,TRUE,FALSE
"107",FALSE,FALSE,TRUE,FALSE
"108",FALSE,TRUE,FALSE,FALSE
"109",FALSE,TRUE,FALSE,FALSE
"110",TRUE,FALSE,FALSE,FALSE
"111",FALSE,FALSE,FALSE,TRUE
"112",FALSE,FALSE,TRUE,FALSE
"113",TRUE,FALSE,FALSE,FALSE
"114",TRUE,FALSE,FALSE,FALSE
"115",TRUE,FALSE,FALSE,FALSE
"116",TRUE,FALSE,FALSE,FALSE
"117",TRUE,FALSE,FALSE,FALSE
"118",FALSE,FALSE,FALSE,TRUE
"119",FALSE,FALSE,FALSE,TRUE
"120",FALSE,TRUE,FALSE,FALSE
"121",FALSE,FALSE,FALSE,TRUE
"122",FALSE,FALSE,FALSE,TRUE
"123",FALSE,FALSE,TRUE,FALSE
"124",TRUE,FALSE,FALSE,FALSE
"125",FALSE,FALSE,TRUE,FALSE
"126",TRUE,FALSE,FALSE,FALSE
"127",FALSE,FALSE,TRUE,FALSE
"128",TRUE,FALSE,FALSE,FALSE
"129",TRUE,FALSE,FALSE,FALSE
"130",FALSE,FALSE,FALSE,TRUE
"131",FALSE,FALSE,TRUE,FALSE
"132",TRUE,FALSE,FALSE,FALSE
"133",FALSE,FALSE,TRUE,FALSE
"134",FALSE,FALSE,TRUE,FALSE
"135",FALSE,FALSE,TRUE,FALSE
"136",FALSE,FALSE,TRUE,FALSE
"137",FALSE,FALSE,FALSE,TRUE
"138",FALSE,TRUE,FALSE,FALSE
"139",FALSE,TRUE,FALSE,FALSE
"140",FALSE,FALSE,TRUE,FALSE
"141",FALSE,FALSE,FALSE,TRUE
"142",FALSE,FALSE,TRUE,FALSE
"143",FALSE,FALSE,TRUE,FALSE
"144",TRUE,FALSE,FALSE,FALSE
"145",TRUE,FALSE,FALSE,FALSE
"146",FALSE,FALSE,TRUE,FALSE
"147",FALSE,FALSE,FALSE,TRUE
"148",FALSE,FALSE,TRUE,FALSE
"149",TRUE,FALSE,FALSE,FALSE
"150",FALSE,FALSE,TRUE,FALSE
"151",FALSE,FALSE,TRUE,FALSE
"152",FALSE,FALSE,FALSE,TRUE
"153",FALSE,TRUE,FALSE,FALSE
"154",FALSE,FALSE,FALSE,TRUE
"155",FALSE,FALSE,TRUE,FALSE
"156",FALSE,TRUE,FALSE,FALSE
"157",FALSE,TRUE,FALSE,FALSE
"158",FALSE,TRUE,FALSE,FALSE
"159",FALSE,FALSE,TRUE,FALSE
"160",FALSE,FALSE,TRUE,FALSE
"161",FALSE,TRUE,FALSE,FALSE
"162",FALSE,TRUE,FALSE,FALSE
"163",FALSE,FALSE,FALSE,TRUE
"164",FALSE,FALSE,TRUE,FALSE
"165",FALSE,TRUE,FALSE,FALSE
"166",FALSE,FALSE,TRUE,FALSE
"167",FALSE,TRUE,FALSE,FALSE
"168",FALSE,FALSE,FALSE,TRUE
"169",TRUE,FALSE,FALSE,FALSE
"170",FALSE,FALSE,TRUE,FALSE
"171",FALSE,FALSE,TRUE,FALSE
"172",FALSE,TRUE,FALSE,FALSE
"173",FALSE,TRUE,FALSE,FALSE
"174",TRUE,FALSE,FALSE,FALSE
"175",FALSE,TRUE,FALSE,FALSE
"176",FALSE,FALSE,TRUE,FALSE
"177",TRUE,FALSE,FALSE,FALSE
"178",FALSE,FALSE,TRUE,FALSE
"179",FALSE,FALSE,TRUE,FALSE
"180",TRUE,FALSE,FALSE,FALSE
"181",FALSE,TRUE,FALSE,FALSE
"182",FALSE,FALSE,FALSE,TRUE
"183",TRUE,FALSE,FALSE,FALSE
"184",FALSE,FALSE,TRUE,FALSE
"185",TRUE,FALSE,FALSE,FALSE
"186",TRUE,FALSE,FALSE,FALSE
"187",FALSE,FALSE,TRUE,FALSE
"188",FALSE,FALSE,TRUE,FALSE
"189",FALSE,TRUE,FALSE,FALSE
"190",TRUE,FALSE,FALSE,FALSE
"191",FALSE,FALSE,TRUE,FALSE
"192",TRUE,FALSE,FALSE,FALSE
"193",FALSE,FALSE,FALSE,TRUE
"194",FALSE,FALSE,FALSE,TRUE
"195",TRUE,FALSE,FALSE,FALSE
"196",FALSE,FALSE,TRUE,FALSE
"197",TRUE,FALSE,FALSE,FALSE
"198",TRUE,FALSE,FALSE,FALSE
"199",TRUE,FALSE,FALSE,FALSE
"200",TRUE,FALSE,FALSE,FALSE
